,date,open,close,high,low,volumme,Unnamed: 0
0,2021-11-18 00:00:00,103.92,103.92,103.92,103.92,0,
1,2021-11-19 00:00:00,103.76,103.76,103.76,103.76,0,
2,2021-11-22 00:00:00,103.59,103.59,103.59,103.59,0,
3,2021-11-23 00:00:00,102.01,102.01,102.01,102.01,0,
4,2021-11-24 00:00:00,101.68,101.68,101.68,101.68,0,
5,2021-11-25 00:00:00,102.37,102.37,102.37,102.37,0,
6,2021-11-26 00:00:00,98.81,98.81,98.81,98.81,0,
7,2021-11-29 00:00:00,99.46,99.46,99.46,99.46,0,
8,2021-11-30 00:00:00,99.05,99.05,99.05,99.05,0,
9,2021-12-01 00:00:00,100.92,100.92,100.92,100.92,0,
10,2021-12-02 00:00:00,99.45,99.45,99.45,99.45,0,
11,2021-12-03 00:00:00,99.19,99.19,99.19,99.19,0,
12,2021-12-06 00:00:00,100.06,100.06,100.06,100.06,0,
13,2021-12-07 00:00:00,103.06,103.06,103.06,103.06,0,
14,2021-12-08 00:00:00,102.32,102.32,102.32,102.32,0,
15,2021-12-09 00:00:00,102.69,102.69,102.69,102.69,0,
16,2021-12-10 00:00:00,102.2,102.2,102.2,102.2,0,
17,2021-12-13 00:00:00,101.7,101.7,101.7,101.7,0,
18,2021-12-14 00:00:00,100.8,100.8,100.8,100.8,0,
19,2021-12-15 00:00:00,101.54,101.54,101.54,101.54,0,
20,2021-12-16 00:00:00,102.52,102.52,102.52,102.52,0,
21,2021-12-17 00:00:00,101.06,101.06,101.06,101.06,0,
22,2021-12-20 00:00:00,100.58,100.58,100.58,100.58,0,
23,2021-12-21 00:00:00,101.68,101.68,101.68,101.68,0,
24,2021-12-22 00:00:00,103.22,103.22,103.22,103.22,0,
25,2021-12-23 00:00:00,103.82,103.82,103.82,103.82,0,
26,2021-12-24 00:00:00,103.61,103.61,103.61,103.61,0,
27,2021-12-27 00:00:00,104.32,104.32,104.32,104.32,0,
28,2021-12-28 00:00:00,105.03,105.03,105.03,105.03,0,
29,2021-12-29 00:00:00,105.16,105.16,105.16,105.16,0,
30,2021-12-30 00:00:00,105.17,105.17,105.17,105.17,0,
31,2021-12-31 00:00:00,104.93,104.93,104.93,104.93,0,
32,2022-01-03 00:00:00,105.6,105.6,105.6,105.6,0,
33,2022-01-04 00:00:00,106.33,106.33,106.33,106.33,0,
34,2022-01-05 00:00:00,106.68,106.68,106.68,106.68,0,
35,2022-01-06 00:00:00,104.35,104.35,104.35,104.35,0,
36,2022-01-07 00:00:00,104.06,104.06,104.06,104.06,0,
37,2022-01-10 00:00:00,101.81,101.81,101.81,101.81,0,
38,2022-01-11 00:00:00,103.02,103.02,103.02,103.02,0,
39,2022-01-12 00:00:00,104.32,104.32,104.32,104.32,0,
40,2022-01-13 00:00:00,103.77,103.77,103.77,103.77,0,
41,2022-01-14 00:00:00,102.36,102.36,102.36,102.36,0,
42,2022-01-17 00:00:00,103.19,103.19,103.19,103.19,0,
43,2022-01-18 00:00:00,102.2,102.2,102.2,102.2,0,
44,2022-01-19 00:00:00,102.6,102.6,102.6,102.6,0,
45,2022-01-20 00:00:00,102.53,102.53,102.53,102.53,0,
46,2022-01-21 00:00:00,100.37,100.37,100.37,100.37,0,
47,2022-01-24 00:00:00,95.72,95.72,95.72,95.72,0,
48,2022-01-25 00:00:00,96.52,96.52,96.52,96.52,0,
49,2022-01-26 00:00:00,98.69,98.69,98.69,98.69,0,
50,2022-01-27 00:00:00,98.9,98.9,98.9,98.9,0,
51,2022-01-28 00:00:00,98.2,98.2,98.2,98.2,0,
52,2022-01-31 00:00:00,99.06,99.06,99.06,99.06,0,
53,2022-02-01 00:00:00,100.79,100.79,100.79,100.79,0,
54,2022-02-02 00:00:00,101.11,101.11,101.11,101.11,0,
55,2022-02-03 00:00:00,99.71,99.71,99.71,99.71,0,
56,2022-02-04 00:00:00,98.71,98.71,98.71,98.71,0,
57,2022-02-07 00:00:00,99.23,99.23,99.23,99.23,0,
58,2022-02-08 00:00:00,99.73,99.73,99.73,99.73,0,
59,2022-02-09 00:00:00,101.76,101.76,101.76,101.76,0,
60,2022-02-10 00:00:00,101.61,101.61,101.61,101.61,0,
61,2022-02-11 00:00:00,100.33,100.33,100.33,100.33,0,
62,2022-02-14 00:00:00,97.68,97.68,97.68,97.68,0,
63,2022-02-15 00:00:00,99.43,99.43,99.43,99.43,0,
64,2022-02-16 00:00:00,99.33,99.33,99.33,99.33,0,
65,2022-02-17 00:00:00,98.24,98.24,98.24,98.24,0,
66,2022-02-18 00:00:00,97.54,97.54,97.54,97.54,0,
67,2022-02-21 00:00:00,95.73,95.73,95.73,95.73,0,
68,2022-02-22 00:00:00,95.52,95.52,95.52,95.52,0,
69,2022-02-23 00:00:00,95.15,95.15,95.15,95.15,0,
70,2022-02-24 00:00:00,91.05,91.05,91.05,91.05,0,
71,2022-02-25 00:00:00,94.55,94.55,94.55,94.55,0,
72,2022-02-28 00:00:00,92.78,92.78,92.78,92.78,0,
73,2022-03-01 00:00:00,89.49,89.49,89.49,89.49,0,
74,2022-03-02 00:00:00,90.53,90.53,90.53,90.53,0,
75,2022-03-03 00:00:00,89.25,89.25,89.25,89.25,0,
76,2022-03-04 00:00:00,84.47,84.47,84.47,84.47,0,
77,2022-03-07 00:00:00,83.7,83.7,83.7,83.7,0,
78,2022-03-08 00:00:00,84.01,84.01,84.01,84.01,0,
79,2022-03-25 00:00:00,92.13,92.13,92.13,92.13,0,
80,2022-03-28 00:00:00,92.37,92.37,92.37,92.37,0,
81,2022-03-29 00:00:00,94.11,94.11,94.11,94.11,0,
82,2022-03-30 00:00:00,93.89,93.89,93.89,93.89,0,
83,2022-03-31 00:00:00,93.0,93.0,93.0,93.0,0,
84,2022-04-01 00:00:00,93.36,93.36,93.36,93.36,0,
85,2022-04-04 00:00:00,93.62,93.62,93.62,93.62,0,
86,2022-04-05 00:00:00,92.19,92.19,92.19,92.19,0,
87,2022-04-06 00:00:00,90.72,90.72,90.72,90.72,0,
88,2022-04-07 00:00:00,90.07,90.07,90.07,90.07,0,
89,2022-04-08 00:00:00,91.47,91.47,91.47,91.47,0,
90,2022-04-11 00:00:00,92.2,92.2,92.2,92.2,0,
91,2022-04-12 00:00:00,92.14,92.14,92.14,92.14,0,
92,2022-04-13 00:00:00,92.15,92.15,92.15,92.15,0,
93,2022-04-14 00:00:00,92.92,92.92,92.92,92.92,0,
94,2022-04-19 00:00:00,92.45,92.45,92.45,92.45,0,
95,2022-04-20 00:00:00,93.37,93.37,93.37,93.37,0,
96,2022-04-21 00:00:00,94.31,94.31,94.31,94.31,0,
97,2022-04-22 00:00:00,93.0,93.0,93.0,93.0,0,
98,2022-04-25 00:00:00,91.37,91.37,91.37,91.37,0,
99,2022-04-26 00:00:00,91.42,91.42,91.42,91.42,0,
100,2022-04-27 00:00:00,91.58,91.58,91.58,91.58,0,
